Input,Target
can we make this quick?  roxanne korrine and andrew barrett are having an incredibly horrendous public break- up on the quad.  again.,"well, i thought we'd start with pronunciation, if that's okay with you."
"well, i thought we'd start with pronunciation, if that's okay with you.",not the hacking and gagging and spitting part.  please.
not the hacking and gagging and spitting part.  please.,okay... then how 'bout we try out some french cuisine.  saturday?  night?
you're asking me out.  that's so cute. what's your name again?,forget it.
"no, no, it's my fault -- we didn't have a proper introduction ---",cameron.
cameron.,"the thing is, cameron -- i'm at the mercy of a particularly hideous breed of loser.  my sister.  i can't date until she does."
"the thing is, cameron -- i'm at the mercy of a particularly hideous breed of loser.  my sister.  i can't date until she does.",seems like she could get a date easy enough...
why?,"unsolved mystery.  she used to be really popular when she started high school, then it was just like she got sick of it or something."
"unsolved mystery.  she used to be really popular when she started high school, then it was just like she got sick of it or something.",that's a shame.
"gosh, if only we could find kat a boyfriend...",let me see what i can do.
c'esc ma tete. this is my head,right.  see?  you're ready for the quiz.
right.  see?  you're ready for the quiz.,i don't want to know how to say that though.  i want to know useful things. like where the good stores are.  how much does champagne cost?  stuff like chat.  i have never in my life had to point out my head to someone.
i don't want to know how to say that though.  i want to know useful things. like where the good stores are.  how much does champagne cost?  stuff like chat.  i have never in my life had to point out my head to someone.,that's because it's such a nice one.
that's because it's such a nice one.,forget french.
how is our little find the wench a date plan progressing?,"well, there's someone i think might be --"
there.,where?
you got something on your mind?,i counted on you to help my cause. you and that thug are obviously failing. aren't we ever going on our date?
you have my word.  as a gentleman,you're sweet.
how do you get your hair to look like that?,"eber's deep conditioner every two days. and i never, ever use a blowdryer without the diffuser attachment."
sure have.,"i really, really, really wanna go, but i can't.  not unless my sister goes."
"i really, really, really wanna go, but i can't.  not unless my sister goes.",i'm workin' on it. but she doesn't seem to be goin' for him.
she's not a...,"lesbian?  no. i found a picture of jared leto in one of her drawers, so i'm pretty sure she's not harboring same-sex tendencies."
"lesbian?  no. i found a picture of jared leto in one of her drawers, so i'm pretty sure she's not harboring same-sex tendencies.",so that's the kind of guy she likes? pretty ones?
so that's the kind of guy she likes? pretty ones?,who knows?  all i've ever heard her say is that she'd dip before dating a guy that smokes.
hi.,"looks like things worked out tonight, huh?"
you know chastity?,i believe we share an art instructor
have fun tonight?,tons
"i looked for you back at the party, but you always seemed to be ""occupied"".",i was?
i was?,"you never wanted to go out with 'me, did you?"
"well, no...",then that's all you had to say.
then that's all you had to say.,but
but,you always been this selfish?
"then guillermo says, ""if you go any lighter, you're gonna look like an extra on 90210.""",no...
do you listen to this crap?,what crap?
what crap?,"me.  this endless ...blonde babble. i'm like, boring myself."
"me.  this endless ...blonde babble. i'm like, boring myself.",thank god!  if i had to hear one more story about your coiffure...
i figured you'd get to the good stuff eventually.,what good stuff?
what good stuff?,"the ""real you""."
"the ""real you"".",like my fear of wearing pastels?
"i'm kidding.  you know how sometimes you just become this ""persona""?  and you don't know how to quit?",no
no,okay -- you're gonna need to learn how to lie.
wow,let's go.
she okay?,i hope so.
they do to!,they do not!
did you change your hair?,no.
no.,you might wanna think about it
where did he go?  he was just here.,who?
who?,joey.
great,"would you mind getting me a drink, cameron?"
"he practically proposed when he found out we had the same dermatologist. i mean. dr. bonchowski is great an all, but he's not exactly relevant party conversation.",is he oily or dry?
is he oily or dry?,combination.  i don't know -- i thought he'd be different.  more of a gentleman...
"bianca, i don't think the highlights of dating joey dorsey are going to include door-opening and coat-holding.","sometimes i wonder if the guys we're supposed to want to go out with are the ones we actually want to go out with, you know?"
"sometimes i wonder if the guys we're supposed to want to go out with are the ones we actually want to go out with, you know?",all i know is -- i'd give up my private line to go out with a guy like joey.
i have to be home in twenty minutes.,i don't have to be home 'til two.
you think you ' re the only sophomore at the prom?,i did.
it's more,expensive?
"exactly  so, you going to bogey lowenbrau's thing on saturday?",hopefully.
"so yeah, i've got the sears catalog thing going -- and the tube sock gig "" that's gonna be huge.  and then i'm up for an ad for queen harry next week.",queen harry?
queen harry?,"it's a gay cruise line, but i'll be, like, wearing a uniform and stuff."
neat...,my agent says i've got a good shot at being the prada guy next year.
"hey, sweet cheeks.","hi, joey."
"hi, joey.",you're concentrating awfully hard considering it's gym class.
"listen, i want to talk to you about the prom.",you know the deal.  i can ' t go if kat doesn't go --
where've you been?,"nowhere... hi, daddy."
i have the potential to smack the crap out of you if you don't get out of my way.,can you at least start wearing a bra?
"oh my god, does this mean you're becoming normal?",it means that gigglepuss is playing at club skunk and we're going.
it means that gigglepuss is playing at club skunk and we're going.,"oh, i thought you might have a date  i don't know why i'm bothering to ask, but are you going to bogey lowenstein's party saturday night?"
"oh, i thought you might have a date  i don't know why i'm bothering to ask, but are you going to bogey lowenstein's party saturday night?",what do you think?
what do you think?,i think you're a freak.  i think you do this to torture me.  and i think you suck.
"you're ruining my life'  because you won't be normal, i can't be normal.",what's normal?
what's normal?,"bogey lowenstein's party is normal, but you're too busy listening to bitches who need prozac to know that."
can't you forget for just one night that you're completely wretched?,at least i'm not a clouted fen- sucked hedge-pig.
like i'm supposed to know what that even means.,it's shakespeare.  maybe you've heard of him?
it's shakespeare.  maybe you've heard of him?,"yeah, he's your freak friend mandella's boyfriend.  i guess since i'm not allowed to go out, i should obsess over a dead guy, too."
you are so completely unbalanced.,can we go now?
"bianca, i need to talk to you -- i need to tell you --",i really don't think i need any social advice from you right now.
"i don't get you.  you act like you're too good for any of this, and then you go totally apeshit when you get here.",you're welcome.
"listen, i know you hate having to sit home because i'm not susie high school.",like you care.
like you care.,"i do care. but i'm a firm believer in doing something for your own reasons, not someone else ' s ."
"i do care. but i'm a firm believer in doing something for your own reasons, not someone else ' s .","i wish i had that luxury. i'm the only sophomore that got asked to the prom and i can't go, because you won ' t."
"joey never told you we went out, did he?",what?
what?,in 9th.  for a month
in 9th.  for a month,why?
why?,"he was, like, a total babe"
"he was, like, a total babe",but you hate joey
but you hate joey,"now i do.  back then, was a different story."
"now i do.  back then, was a different story.",as in...
he said everyone was doing it.  so i did it.,you did what?
you did what?,"just once.  afterwards, i told him i didn't want to anymore.  i wasn't ready. he got pissed.  then he broke up with me."
but,"after that, i swore i'd never do anything just because ""everyone else"" was doing it.  and i haven't since. except for bogey's party, and my stunning gastro-intestinal display --"
"after that, i swore i'd never do anything just because ""everyone else"" was doing it.  and i haven't since. except for bogey's party, and my stunning gastro-intestinal display --",why didn't you tell me?
why didn't you tell me?,i wanted to let you make up your own mind about him.
i wanted to let you make up your own mind about him.,"no. you didn't!  if you really thought i could make my own decisions, you would've let me go out with him instead of helping daddy hold me hostage."
that's not,i'm not stupid enough to repeat your mistakes.
i'm not stupid enough to repeat your mistakes.,i guess i thought i was protecting you.
i guess i thought i was protecting you.,"god, you're just like him! just keep me locked away in the dark, so i can't experience anything for myself"
"god, you're just like him! just keep me locked away in the dark, so i can't experience anything for myself","not all experiences are good, bianca. you can't always trust the people you want to."
"not all experiences are good, bianca. you can't always trust the people you want to.","i guess i'll never know, will i?"
"you looked beautiful last night, you know.",so did you
let go!,you set me up.
you set me up.,i just wanted --
i just wanted --,what? to completely damage me?  to send me to therapy forever? what?
what? to completely damage me?  to send me to therapy forever? what?,no! i just wanted
is that woman a complete fruit-loop or is it just me?,it's just you.
patrick -- is that- a.,perm?
"now don't get upset. daddy, but there's this boy... and i think he might ask...",no! you're not dating until your sister starts dating.  end of discussion.
no! you're not dating until your sister starts dating.  end of discussion.,what if she never starts dating?
what if she never starts dating?,then neither will you.  and i'll get to sleep at night.
then neither will you.  and i'll get to sleep at night.,"but it's not fair -- she's a mutant, daddy!"
but she doesn't want to date.,exactly my point
"daddy, i --",and where're you going?
and where're you going?,"if you must know, we were attempting to go to a small study group of friends."
"if you must know, we were attempting to go to a small study group of friends.",otherwise known as an orgy?
otherwise known as an orgy?,"it's just a party. daddy, but i knew you'd forbid me to go since ""gloria steinem"" over there isn't going --"
"daddy, people expect me to be there!","if kat's not going, you're not going."
"oh, god.  it's starting.",it's just a party. daddy.
wear the belly before you go.,"daddy, no!"
"daddy, no!",just for a minute
promise me you won't talk to any boys unless your sister is present.,why?
why?,because she'll scare them away.
"daddy, i want to discuss the prom with you. it's tomorrow night --",the prom?  kat has a date?
